match_id,rally_id,stroke_num,player_hitting,player1_pos,player2_pos,player1_x,player1_y,player2_x,player2_y,dist_players,dist_player1_net,dist_player2_net,disp_p1_center_dx,disp_p1_center_dy,disp_p2_center_dx,disp_p2_center_dy,dist_p1_center,dist_p2_center,vel_p1_dx,vel_p1_dy,vel_p2_dx,vel_p2_dy,shuttle_hit_from,shuttle_hit_to,stroke_type,prev_stroke_type,player1_pos_mask,player2_pos_mask,shuttle_hit_from_mask,shuttle_hit_to_mask,player1_x_mask,player1_y_mask,player2_x_mask,player2_y_mask,dist_players_mask,dist_player1_net_mask,dist_player2_net_mask,disp_p1_center_dx_mask,disp_p1_center_dy_mask,disp_p2_center_dx_mask,disp_p2_center_dy_mask,dist_p1_center_mask,dist_p2_center_mask,vel_p1_dx_mask,vel_p1_dy_mask,vel_p2_dx_mask,vel_p2_dy_mask,prev_stroke_type_mask
2,Point63,6,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Clear,Block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point63,7,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Block-Bh,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point63,8,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Net-Shot-Bh,Block-Bh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point63,9,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Net-Lift-Bh,Net-Shot-Bh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point63,10,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Smash,Net-Lift-Bh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point63,11,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Block-Bh,Smash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point63,12,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Net-Shot,Block-Bh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point63,13,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Net-Shot,Net-Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Point63,14,1,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,FAULT,Net-Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Point1,1,2,Unknown,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,Unknown,Unknown,Serve,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
